deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
call_0.wav,2.1076539,3.3491986,3.581555,3.0544493,2.949728,NISQAv2
call_1.wav,2.5812926,1.5217376,4.3430185,3.5848696,3.7647953,NISQAv2
call_10.wav,2.4758916,2.2585576,3.6748838,3.071306,3.2600524,NISQAv2
call_11.wav,2.635692,1.9207474,3.9867928,3.0925353,3.4417312,NISQAv2
call_12.wav,2.1895933,2.06431,3.8077488,3.0115595,3.0096927,NISQAv2
call_13.wav,2.0584753,2.106824,3.5242503,2.7708242,3.1043196,NISQAv2
call_14.wav,1.80959,1.8759105,3.8330576,3.2877245,2.8159919,NISQAv2
call_15.wav,1.7429105,1.8922127,3.259427,2.2510219,2.9626932,NISQAv2
call_16.wav,2.0085075,1.9561405,3.775151,3.1381667,2.895992,NISQAv2
call_17.wav,2.3617685,2.1560524,3.397645,3.0085778,3.2572303,NISQAv2
call_18.wav,2.0161808,2.2400756,4.0088854,3.3450685,3.415656,NISQAv2
call_19.wav,2.1727533,2.4262288,3.5901487,2.5440407,2.8358316,NISQAv2
call_2.wav,2.138474,1.8671306,3.1419272,2.5769863,2.8667345,NISQAv2
call_20.wav,1.9130993,2.3155644,3.7629447,2.4902246,2.1760893,NISQAv2
call_21.wav,2.377361,2.2230573,3.7124553,2.8084044,3.1999035,NISQAv2
call_22.wav,1.8412732,2.4141254,3.7313359,2.751155,2.0650644,NISQAv2
call_23.wav,1.5292029,2.309606,2.4361913,2.1765244,2.888522,NISQAv2
call_24.wav,2.107654,3.3491986,3.5815554,3.054449,2.949728,NISQAv2
call_3.wav,1.6584088,3.2558503,3.30391,2.5841968,2.581841,NISQAv2
call_4.wav,1.9824655,2.3256023,3.5282526,2.530415,3.28183,NISQAv2
call_5.wav,1.9881914,2.5521078,2.9595597,2.4844248,2.8831093,NISQAv2
call_6.wav,2.4407134,2.4436595,3.675527,2.554656,2.2911146,NISQAv2
call_7.wav,2.2228901,1.8665729,3.706348,3.4212468,2.8390708,NISQAv2
call_8.wav,2.430281,2.520854,3.8370712,2.7898731,3.0932865,NISQAv2
call_9.wav,1.6558818,2.3538043,3.5752747,2.635464,2.6613724,NISQAv2
